,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
2371,Logan,2017,American Dreamin' ,"Brooke Eden, Sherrié Austin and Will Rambeaux ",Brooke Eden ,NA,NA,NA,NA,Red Bow Records,NA,NA,NA
2372,Logan,2017,Love Is A Tricky Thing ,Catherine Song ,Cate Song ,NA,NA,NA,NA,APM Music,NA,NA,NA
2373,Logan,2017,Torrey's Death ,Victor Young ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2374,Logan,2017,Abide With Me ,William H. Monk (as W.H. Monk) ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2375,Logan,2017,Dixie ,Daniel Decatur Emmett (as D.D. Emmett) ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2376,Logan,2017,Apotheosis And End Title ,Victor Young ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2377,Logan,2017,Black Is The Color ,NA,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2378,Logan,2017,Call Of The Far Away Hills ,Victor Young and Mack David ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2379,Logan,2017,Eyes Of Blue ,Victor Young and Wilson Stone ,NA,NA,NA,NA,NA,Paramount Pictures,NA,NA,NA
2380,Logan,2017,Automobile ,Jökull Juliusson ,Kaleo ,NA,NA,NA,NA,Atlantic Recording Corp. ,NA,NA,NA
2381,Logan,2017,Find My Way ,NA,NA,NA,NA,Grant Lee Phillips ,NA,Yep Roc Music Group ,NA,NA,NA
2382,Logan,2017,Blue Tacoma ,"Russell Dickerson, Casey Brown and Parker Welling ",Russell Dickerson ,NA,NA,NA,NA,Triple Tigers Records ,NA,NA,NA
2383,Logan,2017,Tonight ,"Dolphin Taylor, Wendy Page, James Fenton Marr and Phoebe Ogan (as Phoebe Markowitz Ogan) ",Party Hard ,NA,NA,NA,NA,Extreme Music,NA,NA,NA
2384,Logan,2017,Devil's Whisper ,Jacknife Lee (as Garret Lee) and Raury (Raury Tullis) ,Raury ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
2385,Logan,2017,The Best Man ,Jerry Fuller ,Bobby Helms ,NA,NA,NA,NA,K-tel Music Inc.,NA,NA,NA
2386,Logan,2017,The Man Comes Around ,Johnny Cash (as John R. Cash) ,Johnny Cash ,NA,NA,NA,NA,American Recordings ,NA,NA,Universal Music Enterprises
2387,The Wizard of Oz,1939,Over the Rainbow ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2388,The Wizard of Oz,1939,"Munchkinland Medley: 'Come Out, Come Out, Wherever You Are', 'The House Began To Pitch', 'As Mayor of the Munchkin City', 'As Coroner, I Must Aver', 'Ding Dong The Witch is Dead', 'Lullaby League', 'Lollipop Guild', and 'We Welcome You to Munchkinland' ",NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2389,The Wizard of Oz,1939,Follow the Yellow Brick Road ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2390,The Wizard of Oz,1939,If I Only Had a Brain ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2391,The Wizard of Oz,1939,We're Off to See the Wizard ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2392,The Wizard of Oz,1939,If I Only Had a Heart ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2393,The Wizard of Oz,1939,We're Off To See The Wizard ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2394,The Wizard of Oz,1939,If I Only Had the Nerve/We're Off To See The Wizard ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2395,The Wizard of Oz,1939,Optimistic Voices ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2396,The Wizard of Oz,1939,The Merry Old Land of Oz ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2397,The Wizard of Oz,1939,If I Were King of the Forest ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,NA,NA,NA
2398,The Wizard of Oz,1939,"The Happy Farmer, Op. 68, No. 10 ",NA,NA,NA,NA,NA,Robert Schumann Heard as background music during opening scene and in scene during which Toto runs back to Dorothy ,NA,NA,NA,NA
2399,The Wizard of Oz,1939,In the Shade of the Old Apple Tree ,Egbert Van Alstyne Heard as background music during apple tree scene ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2400,The Wizard of Oz,1939,Night on Bald Mountain ,Modest Mussorgsky Heard as background music while the group tries to flee the Witch's castle ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2401,The Wizard of Oz,1939,Home Sweet Home ,NA,NA,NA,NA,NA,H.R. Bishop ,NA,NA,NA,NA
2402,The Wizard of Oz,1939,"Scherzo in E Minor, Op. 16, No. 2 ",Felix Mendelssohn ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2403,The Wizard of Oz,1939,Over the Rainbow ,NA,NA,NA,E.Y. Harburg ,NA,Harold Arlen ,NA,Herbert Stothart ,NA,NA
2404,Spotlight,2015,West Side Waltz ,Dick Walter ,NA,NA,NA,NA,NA,APM Music,NA,NA,NA
2405,Spotlight,2015,Walk My Street ,Mackenzie ,Sundaes,NA,NA,NA,NA,NA,NA,NA,NA
2406,Spotlight,2015,Sea Shanty ,Rob Shapiro ,Populuxe ,NA,NA,NA,NA,Volume & Tone Records,NA,NA,NA
2407,Spotlight,2015,Myself in You ,Jon Robert ,NA,NA,NA,NA,NA,Rumblefish and The Talent House,NA,NA,NA
2408,Spotlight,2015,"Concerto Grosso No. 1 in G Major, Op. 6 ",George Frideric Handel (as George Handel) ,NA,NA,NA,NA,NA,APM Music,NA,NA,NA
2409,Spotlight,2015,Al Fresco ,NA,NA,NA,NA,Tom Keane ,NA,Masonmack Music Inc.,NA,NA,NA
2410,Spotlight,2015,Cornucopia ,NA,NA,NA,NA,Tom Keane ,NA,Masonmack Music Inc.,NA,NA,NA
2411,Spotlight,2015,"Brandenburg Concerto No. 3, 3rd mvmt: Allegro ",Johann Sebastian Bach (as Johann Bach) ,NA,NA,NA,NA,NA,APM Music,NA,NA,NA
2412,Spotlight,2015,These Exiled Years ,NA,NA,NA,NA,Flogging Molly ,NA,SideOneDummy Records ,NA,NA,NA
2413,Spotlight,2015,"Concerto Grosso No. 2 in F Major, Op. 6 ",George Frideric Handel (as George Handel) ,NA,NA,NA,NA,NA,APM Music,NA,NA,NA
2414,Spotlight,2015,Cocinando Suave ,Ray Barretto (as Raymond Barretto) ,Ray Barretto ,NA,NA,NA,NA,Fantasy ,NA,NA,NA
2415,Spotlight,2015,Bean's Blues ,Coleman Hawkins (as Randolph Coleman Hawkins) ,Coleman Hawkins ,NA,NA,NA,NA,Original Jazz Classics ,NA,NA,NA
2416,Spotlight,2015,Silent Night ,Franz Xaver Gruber and Joseph Mohr,NA,NA,NA,NA,NA,NA,NA,NA,NA
2417,Network,1976,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2418,Groundhog Day,1993,Weatherman ,George Fenton and Harold Ramis ,Delbert McClinton ,NA,NA,NA,NA,Curb Records,NA,NA,NA
2419,Groundhog Day,1993,"Piano Sonata in C, K545, 1st movement ",Wolfgang Amadeus Mozart,NA,NA,NA,NA,NA,NA,NA,NA,NA
2420,Groundhog Day,1993,I Got You Babe ,Sonny Bono ,Sonny & Cher ,NA,NA,NA,NA,ATCO Records ,NA,NA,NA
2421,Groundhog Day,1993,Pennsylvania Polka ,Lester Lee and Zeke Manners ,Frankie Yankovic ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
2422,Groundhog Day,1993,Take Me Round Again ,NA,Susie Stevens-Logan (as Susie Stevens),NA,NA,NA,NA,NA,NA,NA,NA
2423,Groundhog Day,1993,You Don't Know Me ,Eddy Arnold and Cindy Walker ,Ray Charles ,NA,NA,NA,NA,Charles Enterprises,NA,NA,NA
2424,Groundhog Day,1993,Eighteenth Variation from Rhapsody on a Theme of Paganini ,Sergei Rachmaninoff,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425,Groundhog Day,1993,Phil's Piano Solo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2426,Groundhog Day,1993,Almost Like Being in Love ,Alan Jay Lerner and Frederick Loewe ,Nat 'King' Cole (as Nat King Cole) ,NA,NA,NA,NA,Capitol Records ,NA,NA,NA
2427,Groundhog Day,1993,La Bourrée du Célibataire ,NA,NA,NA,Jacques Brel © MCA/Caravelle Music France (Tropicales Catalogue),NA,Jacques Brel ,NA,NA,NA,NA
2428,Groundhog Day,1993,Quartet No. 1 in D - The Ground Hog ,NA,Bruce Duvok,NA,NA,NA,NA,NA,NA,NA,NA
2429,Ratatouille,2007,Le Festin (Backup Choir Excerpt; Radio) ,NA,Camille ,NA,NA,NA,NA,NA,NA,NA,NA
2430,Ratatouille,2007,Le Festin ,NA,Camille ,NA,NA,NA,NA,NA,NA,NA,NA
2431,Ratatouille,2007,Le Festin (Reprise; Finale) ,NA,Camille ,NA,NA,NA,NA,NA,NA,NA,NA
2432,The Exorcist,1973,Kanon For Orchestra and Tape ,Krzysztof Penderecki ,NA,NA,NA,NA,NA,Angel Records,NA,NA,NA
2433,The Exorcist,1973,Cello Concerto ,Krzysztof Penderecki ,NA,NA,NA,NA,NA,Angel Records,NA,NA,NA
2434,The Exorcist,1973,String Quartet (1960) ,Krzysztof Penderecki ,NA,NA,NA,NA,NA,"Candide/Vox Productions, Inc.",NA,NA,NA
2435,The Exorcist,1973,Polymorphia ,Krzysztof Penderecki ,Orchestra of the Cracow Philharmonia ,NA,NA,NA,NA,Philips Records,Henryk Czyz ,NA,NA
2436,The Exorcist,1973,The Devils of Loudon ,Krzysztof Penderecki ,Hamburg State Opera ,NA,NA,NA,NA,Philips Records,Marek Janowski ,NA,NA
2437,The Exorcist,1973,Fantasia for Strings ,Hans Werner Henze ,NA,NA,NA,NA,NA,Deutsche Grammophon,NA,NA,NA
2438,The Exorcist,1973,(Tutti) Threnody I: Night of the Electric Insects ,George Crumb ,NA,NA,NA,NA,NA,"Composers Recordings, Inc.",NA,NA,NA
2439,The Exorcist,1973,"Fliessend, Äusserst Zart (from Five Pieces for Orchestra, Op. 10) ",Anton Webern ,NA,NA,NA,NA,NA,Angel Records,NA,NA,NA
2440,The Exorcist,1973,Beginnings (from The Wind Harp) ,Harry Bee (uncredited) ,NA,NA,NA,NA,NA,United Artists Records,NA,NA,NA
2441,The Exorcist,1973,Tubular Bells ,Mike Oldfield ,NA,NA,NA,NA,NA,Virgin Records [Heard during opening and closing],NA,NA,NA
2442,The Exorcist,1973,Study No. 1 ,David Borden,NA,NA,NA,NA,NA,NA,NA,NA,NA
2443,The Exorcist,1973,Study No. 2 ,David Borden,NA,NA,NA,NA,NA,NA,NA,NA,NA
2444,The Exorcist,1973,Ramblin' Man ,Dickey Betts ,The Allman Brothers Band,NA,NA,NA,NA,NA,NA,NA,NA
2445,The Exorcist,1973,Istoria mou ,Kostas Psyhogios & Yorgos Manisalis ,Rita Sakellariou,NA,NA,NA,NA,NA,NA,NA,NA
2446,The Exorcist,1973,Paramythaki mou ,Manos Loïzos and Lefteris Papadopoulos ,Giannis Kalatzis,NA,NA,NA,NA,NA,NA,NA,NA
2447,The Exorcist,1973,Down on 33rd and 3rd ,Ben Ryan ,Party Goers,NA,NA,NA,NA,NA,NA,NA,NA
2448,The Exorcist,1973,Carly and Carole ,Eumir Deodato,NA,NA,NA,NA,NA,NA,NA,NA,NA
2449,The Exorcist,1973,Quiet Village ,Les Baxter ,Les Baxter,NA,NA,NA,NA,NA,NA,NA,NA
2450,Hachi: A Dog's Tale,2009,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2451,The Incredibles,2004,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2452,The Best Years of Our Lives,1946,Among My Souvenirs ,NA,NA,NA,Lawrence Wright ,NA,Edgar Leslie ,NA,NA,NA,NA
2453,The Best Years of Our Lives,1946,"Toot, Toot, Tootsie (Goo' Bye!) ",NA,NA,NA,NA,NA,Dan Russo and Ernie Erdman ,NA,NA,NA,NA
2454,The Best Years of Our Lives,1946,Lazy River ,NA,NA,NA,NA,NA,Hoagy Carmichael & Sidney Arodin ,NA,NA,NA,NA
2455,The Best Years of Our Lives,1946,Beer Barrel Polka (Roll Out the Barrel) ,NA,NA,NA,NA,NA,Jaromir Vejvoda ,NA,NA,NA,NA
2456,The Best Years of Our Lives,1946,Chopsticks ,NA,NA,NA,NA,NA,Euphemia Allen ,NA,NA,NA,NA
2457,The Best Years of Our Lives,1946,Bridal Chorus (Here Comes the Bride) ,Richard Wagner ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2458,Before Sunset,2004,An Ocean Apart ,NA,Julie Delpy ,Julie Delpy ,NA,NA,NA,NA,NA,NA,NA
2459,Before Sunset,2004,Bach: Goldberg Variation Number 25 ,NA,Igor Kipnis ,Johann Sebastian Bach (uncredited) ,NA,NA,NA,Angel Records ,NA,NA,EMI Film & Television Music
2460,Before Sunset,2004,A Waltz For A Night ,NA,Julie Delpy ,Julie Delpy ,NA,NA,NA,NA,NA,NA,NA
2461,Before Sunset,2004,Just In Time ,"Betty Comden, Adolph Green, Jule Styne ",Nina Simone ,NA,NA,NA,NA,Warner Strategic Marketing,NA,NA,NA
2462,Before Sunset,2004,Je T'aime Tant ,NA,Julie Delpy ,Julie Delpy ,NA,NA,NA,NA,NA,NA,NA
2463,Before Sunset,2004,Accordion Music ,NA,Glover Gill ,Glover Gill ,NA,NA,NA,NA,NA,NA,NA
2464,Dersu Uzala,1975,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2465,Rebecca,1940,Love's Old Sweet Song (Just a Song at Twilight) ,NA,NA,NA,NA,NA,J.L. Molloy ,NA,NA,NA,NA
2466,My Father and My Son,2005,Bir Sans Daha ,NA,Cihan Okan,NA,Cagan Irmak ,NA,Evanthia Reboutsika ,NA,NA,NA,NA
2467,The Grapes of Wrath,1940,Red River Valley ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2468,The Grapes of Wrath,1940,"A Tisket, A Tasket ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2469,The Grapes of Wrath,1940,Going Down the Road Feeling Bad ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2470,The Grapes of Wrath,1940,She'll Be Coming 'Round the Mountain ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2471,Cool Hand Luke,1967,Plastic Jesus ,Ed Rush and George Cromarty ,Paul Newman,NA,NA,NA,NA,NA,NA,NA,NA
2472,Cool Hand Luke,1967,Just a Closer Walk With Thee ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2473,Cool Hand Luke,1967,Midnight Special ,Howard Washington Odum ,Harry Dean Stanton,NA,NA,NA,NA,NA,NA,NA,NA
2474,Cool Hand Luke,1967,Cotton Fields ,Huddie Ledbetter (as Leadbelly) ,Harry Dean Stanton,NA,NA,NA,NA,NA,NA,NA,NA
2475,Cool Hand Luke,1967,There Ain't No Grave Gonna Hold My Body Down ,Claude Ely ,Harry Dean Stanton,NA,NA,NA,NA,NA,NA,NA,NA
2476,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Yo Ho (A Pirate's Life for Me) ,NA,"Lucinda Dryzek, Keira Knightley, and Johnny Depp",NA,NA,NA,George Bruns ,NA,NA,NA,NA
2477,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Pirate Musk ,Craig Eastman ,Craig Eastman,NA,NA,NA,NA,NA,NA,NA,NA
2478,The Battle of Algiers,1966,"St. Matthew Passion BWV 244, 1st movement ",NA,NA,Johann Sebastian Bach,NA,NA,NA,NA,NA,NA,NA
2479,The Battle of Algiers,1966,Rebecca ,NA,Les Chakachas,NA,NA,NA,NA,NA,NA,NA,NA
2480,To Be or Not to Be,1942,"Polonaise in A major, Op. 40, No. 1, 'Military' ",Frédéric Chopin ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2481,To Be or Not to Be,1942,German National Anthem (Das Lied der Deutschen) ,NA,NA,NA,August Heinrich Hoffman von Fallersleben (1841) ,NA,Joseph Haydn (1797) ,NA,NA,NA,NA
2482,Amores perros,2000,Amores Perros ,Control Machete ,Control Machete,NA,NA,NA,NA,NA,NA,NA,NA
2483,Amores perros,2000,La vida es un carnaval ,NA,Celia Cruz,NA,NA,NA,NA,NA,NA,NA,NA
2484,Amores perros,2000,Pesada ,NA,Control Machete,NA,NA,NA,NA,NA,NA,NA,NA
2485,Amores perros,2000,Yolanda ,NA,Los Gatos Negros,NA,NA,NA,NA,NA,NA,NA,NA
2486,Amores perros,2000,Corazón ,NA,Titán,NA,NA,NA,NA,NA,NA,NA,NA
2487,Amores perros,2000,La cumbia del garrote ,NA,Los del Garrote,NA,NA,NA,NA,NA,NA,NA,NA
2488,Amores perros,2000,Gimme the Power ,NA,Banda Espuela de Oro,NA,NA,NA,NA,NA,NA,NA,NA
2489,Amores perros,2000,Mentiras ,NA,Los del Garrote,NA,NA,NA,NA,NA,NA,NA,NA
2490,Amores perros,2000,Coolo ,Emmanuel Horvilleur and Dante Spinetta (as Dante Spinetta Salazar) ,Illya Kuryaki & The Valderramas,NA,NA,NA,NA,NA,NA,NA,NA
2491,Amores perros,2000,Lucha de gigantes ,Antonio Vega and Nacho García Vega (as Ignacio García Vega) ,Nacha Pop,NA,NA,NA,NA,NA,NA,NA,NA
2492,Amores perros,2000,Si señor ,NA,Control Machete,NA,NA,NA,NA,NA,NA,NA,NA
2493,Amores perros,2000,Atacama ,NA,Gustavo Santaolalla,NA,NA,NA,NA,NA,NA,NA,NA
2494,Amores perros,2000,Long Cool Woman (In a Black Dress) ,"Allan Clarke, Roger Greenaway & Roger Cook ",The Hollies ,NA,NA,NA,NA,'Epic Records [us]',NA,NA,NA
2495,Amores perros,2000,Chico Groove ,Gustavo Santaolalla ,Gustavo Santaolalla,NA,NA,NA,NA,NA,NA,NA,NA
2496,Amores perros,2000,Lucha de Gigantes ,Antonio Vega (as Antonio Vega Tallés) and Ignacio García Vega ,Cristian Fiebre,NA,NA,NA,NA,NA,NA,NA,NA
2497,The Sound of Music,1965,Prelude ,NA,NA,NA,NA,NA,Richard Rodgers Played during the opening aerial shots,NA,NA,NA,NA
2498,The Sound of Music,1965,The Sound of Music ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2499,The Sound of Music,1965,Preludium (Dixit Dominus) ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2500,The Sound of Music,1965,Morning Hymn ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2501,The Sound of Music,1965,Alleluia ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2502,The Sound of Music,1965,Maria ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2503,The Sound of Music,1965,I Have Confidence ,NA,NA,NA,Richard Rodgers and Ernest Lehman ,NA,Richard Rodgers and Saul Chaplin ,NA,NA,NA,NA
2504,The Sound of Music,1965,Sixteen Going on Seventeen ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2505,The Sound of Music,1965,My Favorite Things ,NA,NA,NA,Oscar Hammerstein II Played during the opening credits ,NA,Richard Rodgers ,NA,NA,NA,NA
2506,The Sound of Music,1965,Do-Re-Mi ,NA,NA,NA,Oscar Hammerstein II Played during the opening credits ,NA,Richard Rodgers ,NA,NA,NA,NA
2507,The Sound of Music,1965,The Lonely Goatherd ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2508,The Sound of Music,1965,Edelweiss ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2509,The Sound of Music,1965,"So Long, Farewell ",NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2510,The Sound of Music,1965,How Can Love Survive ,NA,NA,NA,NA,NA,Richard Rodgers ,NA,NA,NA,NA
2511,The Sound of Music,1965,Climb Ev'ry Mountain ,NA,NA,NA,Oscar Hammerstein II ,NA,Richard Rodgers ,NA,NA,NA,NA
2512,The Sound of Music,1965,Something Good ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2513,The Sound of Music,1965,Processional ,NA,NA,NA,NA,NA,Richard Rodgers Played on organ at Maria's wedding,NA,NA,NA,NA
2514,Life of Brian,1979,Brian ,NA,NA,NA,Michael Palin ,NA,André Jacquemin and Dave Howman (as David Howman) ,NA,NA,NA,NA
2515,Life of Brian,1979,Always Look on the Bright Side of Life ,Eric Idle ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2516,Life of Brian,1979,Vision of Fear ,Edward Michael ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2517,Life of Brian,1979,"Requiem in D minor, K.626 - 3. Sequentia: Dies irae ",Wolfgang Amadeus Mozart ,Unknown,NA,NA,NA,NA,NA,NA,NA,NA
2518,The 400 Blows,1959,Les Quatre Cents Coups ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2519,The 400 Blows,1959,La Machine à Écrire ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2520,The 400 Blows,1959,Balzac ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2521,The 400 Blows,1959,Finale ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2522,The 400 Blows,1959,Balzac et Gymnastique ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2523,The 400 Blows,1959,École Buissonnière ,NA,NA,NA,NA,NA,Jean Constantin,NA,NA,NA,NA
2524,Persona,1966,"Adagio from Concerto No. 2 in E major for Violin, Strings and Continuo, BWV 1042 ",Johann Sebastian Bach,NA,NA,NA,NA,NA,NA,NA,NA,NA
2525,It Happened One Night,1934,Who's Afraid of the Big Bad Wolf ,Frank Churchill and Ann Ronell ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2526,It Happened One Night,1934,The Flying Trapeze ,NA,all bus passengers,NA,George Leybourne ,NA,Gaston Lyle ,NA,NA,NA,NA
2527,It Happened One Night,1934,Bridal Chorus (Here Comes the Bride) ,Richard Wagner ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2528,Dune,2021,Tooth of Shai Hulud ,NA,Czarina Russell ,NA,NA,NA,NA,NA,NA,NA,NA
2529,Dune,2021,Bagpipe Army ,Hans Zimmer and Omer Benyamin,NA,NA,NA,NA,NA,NA,NA,NA,NA
2530,Dune,2021,Sardaukar Chant ,Hans Zimmer and Michael Geiger,NA,NA,NA,NA,NA,NA,NA,NA,NA
2531,Dune,2021,Healing Baron ,NA,NA,NA,NA,Clint Bennett,NA,NA,NA,NA,NA
2532,Dune,2021,Herbert ,Hans Zimmer and Klaus Schulze,NA,NA,NA,NA,NA,NA,NA,NA,NA
2533,La Haine,1995,Burnin' and Lootin' ,Bob Marley ,Bob Marley ,NA,NA,NA,NA,NA,NA,NA,NA
2534,La Haine,1995,That Loving Feeling ,Tony Joe White ,Isaac Hayes avec l'aimable autorisation des EMI Music Publishing France SA et de Fantasy,NA,NA,NA,NA,NA,NA,NA,NA
2535,La Haine,1995,More Bounce to the Ounce ,Roger Troutman ,Zapp and Roger Troutman (as Roger) avec l'aimable autorisation de Polygram Projets Speciaux et de Warner Special Products,NA,NA,NA,NA,NA,NA,NA,NA
2536,La Haine,1995,Mon Esprit Part en Couille ,Weedy and Expression Direkt ,Expression Direkt avec l'aimable autorisation de Ghetto Youth Progress,NA,NA,NA,NA,NA,NA,NA,NA
2537,La Haine,1995,DJ Skud Interlude ,Cut Killer ,Cut Killer,NA,NA,NA,NA,NA,NA,NA,NA
2538,La Haine,1995,Wedding Songs Medley ,Etan Massuri avec l'aimable autorisation des disques Vogue/BMG France,NA,NA,NA,NA,NA,NA,NA,NA,NA
2539,La Haine,1995,Funk Funk ,Larry Blackmon ,Cameo song of Polygram Inc. © 1977 Mercury Records avec l'aimable autorisation de Polygram Projets Speciaux,NA,NA,NA,NA,NA,NA,NA,NA
2540,La Haine,1995,Tak Hedat ,Tak Fari Nas ,Tak Fari Nas avec l'aimable autorisation de Lance Productions et de Sonodisc,NA,NA,NA,NA,NA,NA,NA,NA
2541,La Haine,1995,Outstanding ,The Gap Band ,The Gap Band © 1982 Mercury avec l'aimable autorisation de Polygram Projets Speciaux,NA,NA,NA,NA,NA,NA,NA,NA
2542,La Haine,1995,Loufou Lakari ,Mabiala and Lonningisa ,Mabiala and Lonningisa avec l'aimable autorisation de Esperance et de Sonodisc,NA,NA,NA,NA,NA,NA,NA,NA
2543,La Haine,1995,The Beat Goes On ,"Burks, Carter, Lee, Sherrer, Smith ",Ripple avec l'aimable autorisation de BMG Publishing France et de Arcade,NA,NA,NA,NA,NA,NA,NA,NA
2544,La Haine,1995,Nsangu Nsangu ,Klay M ,Klay M avec l'aimable autorisation de Klay M et de Sonodisc,NA,NA,NA,NA,NA,NA,NA,NA
2545,La Haine,1995,Ellens Gesang III (Ave Maria) ,Franz Schubert ,Christa Ludwig and Irwin Gage © 1974 Deutsche Grammophon Hambourg avec l'aimable autorisation de Polygram Projets Speciaux,NA,NA,NA,NA,NA,NA,NA,NA
2546,La Haine,1995,Hard Core ,Solo ,Solo avec l'aimable autorisation de Solo,NA,NA,NA,NA,NA,NA,NA,NA
2547,La Haine,1995,Groove Holmes ,"Mike D (as M. Diamond), Adam Yauch (as A. Yauch), Adam Horovitz (as A. Horovitz), Mark Nishita (as M. Nishita), E. Bobo ",The Beastie Boys Brooklyn Dust Music / Polygram International Publishing avec l'aimable autorisation de Polygram Projets Speciaux © 1994 Capitol Records Inc.,NA,NA,NA,NA,NA,NA,NA,NA
2548,La Haine,1995,Ricky's Theme ,"Mike D (as M. Diamond), Adam Yauch (as A. Yauch), Adam Horovitz (as A. Horovitz), Mark Nishita (as M. Nishita), E. Bobo ",The Beastie Boys Brooklyn Dust Music / Polygram International Publishing avec l'aimable autorisation de Polygram Projets Speciaux © 1994 Capitol Records Inc.,NA,NA,NA,NA,NA,NA,NA,NA
2549,La Haine,1995,Eugene's Lament ,"Mike D (as M. Diamond), Adam Yauch (as A. Yauch), Adam Horovitz (as A. Horovitz), Mark Nishita (as M. Nishita) ",The Beastie Boys Brooklyn Dust Music / Polygram International Publishing avec l'aimable autorisation de Polygram Projets Speciaux © 1994 Capitol Records Inc.,NA,NA,NA,NA,NA,NA,NA,NA
2550,La Haine,1995,Music from 'Les Schtroumpfs' ,"William Hanna (as W. Hanna), Joseph Barbera (as J. Barbera), Hoyt Curtin (as H. J. Curtin) © Peyo Les Schtroumpfs ",NA,NA,NA,NA,NA,IMPS Bruxelles,NA,NA,NA
2551,La Haine,1995,Musique de la série TV 'Chapi Chapo' ,François de Roubaix © 1976 Editions de Alouettes © Editions des Alouettes / Warner Chappell France,NA,NA,NA,NA,NA,NA,NA,NA,NA
2552,Aladdin,1992,Arabian Nights ,NA,Bruce Adler,NA,Howard Ashman ,NA,Alan Menken ,NA,NA,NA,NA
2553,Aladdin,1992,One Jump Ahead ,NA,Brad Kane,NA,Tim Rice ,NA,Alan Menken ,NA,NA,NA,NA
