,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
149,Fight Club,1999,Cafeteria ,Christian Poulet ,Cezame Argile ,NA,NA,NA,NA,Koka Media/Killer Tracks,NA,NA,NA
150,Fight Club,1999,Smoke Stack ,"Franki Hulme, Kenton Hulme, John Wolfenden and Melle Steagall ",Junk Ferry,NA,NA,NA,NA,NA,NA,NA,NA
151,Fight Club,1999,Forbidden To Love ,NA,NA,NA,NA,NA,Guy Moon ,NA,NA,NA,NA
152,Fight Club,1999,Easy Smack It Up ,M. Petrie and K. Moo ,The Odditorium ,NA,NA,NA,NA,Hi-Ho Records,NA,NA,NA
153,Fight Club,1999,Splended & 4M15 ,NA,NA,Kenneth 'Babyface' Edmonds,NA,NA,NA,NA,NA,NA,NA
154,Fight Club,1999,Goin' Out West ,"Tom Waits, Kathleen Brennan ",Tom Waits ,NA,NA,NA,NA,"Island Records, Inc. ",NA,NA,Universal Music Special Markets
155,Fight Club,1999,"No Love, No Nothin' ",NA,Marlene Dietrich ,NA,Leo Robin ,NA,Harry Warren ,Columbia Records for the U.S. and Canada ,NA,NA,NA
156,Fight Club,1999,Theme from Valley of the Dolls ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Fight Club,1999,KDFW News Theme ,NA,NA,Stephen Arnold,NA,NA,NA,NA,NA,NA,NA
158,Fight Club,1999,Tzigany Waltz ,George Fenton and John Leach ,NA,NA,NA,NA,NA,Associated Production Music,NA,NA,NA
159,Fight Club,1999,Where Is My Mind ,Frank Black ,Pixies (as The Pixies) ,NA,NA,NA,NA,Elektra Entertainment Group/4AD ,NA,NA,NA
160,Inception,2010,"Non, je ne Regrette rien ",NA,Édith Piaf ,NA,Michel Vaucaire ,NA,Charles Dumont ,EMI Music France ,NA,NA,EMI Film & Television Music
161,Inception,2010,Aboun Salehoun ,Youssef El Mejjad and Pat Jabbar ,Amira Saqati ,NA,NA,NA,NA,Barraka el Farnatshi Productions,NA,NA,NA
162,The Lord of the Rings: The Two Towers,2002,Gollum's Song ,NA,Emiliana Torrini ,NA,Fran Walsh,NA,Howard Shore ,"Virgin Records America, Inc. ",NA,NA,NA
163,The Lord of the Rings: The Two Towers,2002,Evenstar ,NA,"Isabel Bayrakdarian, soprano",NA,Fran Walsh ,NA,Howard Shore ,NA,NA,NA,NA
164,The Lord of the Rings: The Two Towers,2002,Breath of Life ,NA,Sheila Chandra,NA,Fran Walsh ,NA,Howard Shore ,NA,NA,NA,NA
165,The Lord of the Rings: The Two Towers,2002,Isengard Unleashed ,NA,Elizabeth Fraser and Ben Del Maestro,NA,Fran Walsh ,NA,Howard Shore ,NA,NA,NA,NA
166,The Lord of the Rings: The Two Towers,2002,Farewell to Lorien ,NA,Hilary Summers,NA,Fran Walsh ,NA,Howard Shore ,NA,NA,NA,NA
167,Star Wars: Episode V - The Empire Strikes Back,1980,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,The Matrix,1999,Dissolved Girl ,"Robert Del Naja, Grant Marshall (as Grantley Marshall), Andrew Vowles (as Andrew Vowles), Sara J., and Matt Schwartz ",Massive Attack ,NA,NA,NA,NA,Virgin Records LTD. ,NA,NA,NA
169,The Matrix,1999,Dragula (Hot Rod Herman Mix) ,Rob Zombie and Scott Humphrey ,Rob Zombie ,NA,NA,NA,NA,Geffen Records ,NA,NA,Universal Music Special Markets
