song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
...Ready For It?,Taylor Swift,0.553571429,2yLa0QULdQr0qAIvVwN6B5,0.0527,0.613,0.764,0,0.197,0.136,0.417
Life Changes,Thomas Rhett,0.777202073,4Vxu50qVrQcycjRyJQaZLC,0.1,0.687,0.845,0,0.0452,0.0576,0.809
Galway Girl,Ed Sheeran,0.978723404,0afhq8XCExXpqazXczTSve,0.0735,0.624,0.876,0,0.327,0.1,0.781
Photograph,Ed Sheeran,0.733333333,1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,0.0476,0.201
When I Was Your Man,Bruno Mars,0.669039146,0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0,0.088,0.0434,0.387
Gonna Fly Now,Bill Conti,0.612403101,7iXYRR70wewzVYzWScm99j,0.462,0.434,0.722,0.773,0.05,0.0351,0.453
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.47008547,5o3GnrcFtvkdf3zFznuSbA,0.343,0.783,0.61,0,0.0983,0.0696,0.418
Bad Blood,Taylor Swift,0.339933993,0TvQLMecTE8utzoNmvXRbK,0.0871,0.652,0.802,6.45E-06,0.148,0.181,0.295
Hall of Fame (feat. will.i.am),The Script,0.881516588,7wMq5n8mYSKlQIGECKUgTX,0.0654,0.421,0.873,0,0.123,0.0564,0.629
Sugar,Maroon 5,0.796561605,2iuZJX9X9P0GKaE93xcPjk,0.0591,0.748,0.788,0,0.0863,0.0334,0.884
Stuck Like Glue,Sugarland,0.588235294,0JcKdUGNR7zI4jJDLyYXbi,0.329,0.702,0.795,0,0.0505,0.0568,0.836
That's What I Like,Bruno Mars,0.853046595,0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,0.56,0,0.0944,0.0406,0.86
Steal My Girl,One Direction,0.58125,2Bs4jQEGMycglOfWPBqrVG,0.00433,0.536,0.768,0,0.114,0.0347,0.545
I'm the One,DJ Khaled,0.842767296,3DXncPQOG4VBw3QHh3S817,0.0552,0.609,0.668,0,0.167,0.0367,0.811
Wildest Dreams,Taylor Swift,0.726315789,3fVnlF4pGqWI9flVENcT28,0.0709,0.553,0.664,0.0056,0.106,0.0741,0.467
Young Dumb & Broke,Khalid,0.238010657,5Z3GHaZ6ec9bsiI5BenrbY,0.199,0.799,0.539,1.66E-05,0.165,0.0421,0.394
Ignition - Remix,R. Kelly,0.726708075,5dNfHmqgr128gMY2tc5CeJ,0.061,0.795,0.523,0,0.0914,0.0423,0.855
Free Fallin',Tom Petty,0.89640592,5tVA6TkbaAH9QMITTQRrNv,0.212,0.623,0.449,0,0.0613,0.0253,0.572
Brown Eyed Girl,Van Morrison,0.695652174,3yrSvpt2l1xhsV9Em88Pul,0.185,0.491,0.583,0,0.406,0.0376,0.908
It Girl,Jason Derulo,0.812274368,4fINc8dnfcz7AdhFYVA4i7,0.0165,0.668,0.718,0,0.104,0.0605,0.345
"Hey, Soul Sister",Train,0.648148148,4HlFJV71xXKIGcU3kRyttv,0.185,0.673,0.886,0,0.0826,0.0431,0.795
Feel It Still,Portugal. The Man,0.676470588,6QgjcU0zLnzq5OrUoSZ3OK,0.0417,0.801,0.795,0.000113,0.0717,0.0504,0.754
Kiss Me Thru The Phone,Soulja Boy,0.82173913,2q4rjDy9WhaN3o9MvDbO21,0.0185,0.758,0.712,0,0.0677,0.112,0.795
Blank Space,Taylor Swift,0.465256798,1u8c2t2Cy7UBoG4ArRcF5g,0.103,0.76,0.703,0,0.0913,0.054,0.57
Roar,Katy Perry,0.762135922,6F5c58TMEs1byxUstkzVeM,0.00487,0.554,0.772,6.60E-06,0.354,0.0418,0.455
Ymca,Village People,0.837962963,3ypMsqUwfNFMiooMLVHfkp,0.19,0.742,0.696,0,0.151,0.0735,0.84
You Belong With Me,Taylor Swift,0.737588652,1GEBsLDvJGw7kviySRI6GX,0.178,0.687,0.745,1.59E-05,0.111,0.0379,0.435
All These Things That I've Done,The Killers,0.664974619,5vollujufHY0jMZxx77VWr,0.00245,0.539,0.702,2.37E-05,0.117,0.0436,0.206
I Knew You Were Trouble.,Taylor Swift,0.083591331,6FB3v4YcR57y4tXFcdxI1E,0.00454,0.622,0.469,2.25E-06,0.0335,0.0363,0.679
22,Taylor Swift,0.733118971,3WC5CVAahvn98hiseoIvbw,0.00215,0.661,0.729,0.0013,0.0477,0.0376,0.668
Welcome To New York,Taylor Swift,0.948186528,10nqz67NQWWa7XPq7ycihi,0.038,0.793,0.634,1.76E-06,0.304,0.0324,0.615
Our Song,Taylor Swift,0.720930233,1j6gmK6u4WNI33lMZ8dC1s,0.111,0.668,0.672,0,0.329,0.0303,0.539
